id,date,sender,text,clearedmsg
316,2018-08-08 21:19:54+08:00,PeerUser(user_id=290537505),"there’s a lot of packet food at hss foyer, near the tables  do come over to take if you’re in school 🙂",-2
317,2018-08-11 12:55:43+08:00,PeerUser(user_id=233867740),leftover food at the arc learning hub clearing soon ,-1
318,2018-08-11 13:05:50+08:00,PeerUser(user_id=62833264),"15 packets of lunch at s4, level b2 outside sr6  to be consumed by 130pm ",-2
319,2018-08-14 11:16:24+08:00,PeerUser(user_id=176486531),"free churros and sure-win wind chamber outside lt07    to redeem, you have to download our plus  (ntuc plus on app store) app and register as a member. free hotel stays to be won on fb ( mypluslife).",-2
320,2018-08-15 11:26:19+08:00,NTUFreeFood,hi all  food outside lt19a to be cleared around 12,-2
321,2018-08-15 20:58:11+08:00,PeerUser(user_id=427459426),leftover food at src sh2 clearing at 9.30pm,-2
322,2018-08-16 11:57:44+08:00,PeerUser(user_id=528976583),lt27 clearing by 12pm ,-2
324,2018-08-16 19:13:46+08:00,PeerUser(user_id=686081509),experimental medicine building,-2
325,2018-08-16 20:18:16+08:00,PeerUser(user_id=48628073),"hi all    leftovers outside hall 11 admin office, bring your own plates and utensils ",-2
326,2018-08-16 20:29:18+08:00,PeerUser(user_id=211886716),lt27. food will be cleared by 9pm,-2
327,2018-08-17 16:41:46+08:00,PeerUser(user_id=421853246),"free food outside lt27  there's fried bee hoon, satay, otah, muruku and chiu kueh  ",-2
328,2018-08-17 17:06:44+08:00,PeerUser(user_id=218504377),"leftover food (including a tray of untouched beehoon) at lhs tr+56, lvl 3 hive to be cleared at 5.30pm",-2
329,2018-08-17 20:42:58+08:00,PeerUser(user_id=48628073),hi guise food over at hive tr+47  clearing at 930,-2
330,2018-08-17 20:53:51+08:00,PeerUser(user_id=48628073),hi guise  8 remaining leftover packets of mixed rice outside nie lt 7 (halal) (supposed to b consumed by 830 tho),-2
331,2018-08-18 21:23:30+08:00,PeerUser(user_id=285317906),leftover bbq food at hall 12/13 bbq pit  clearing at 1030pm,-2
332,2018-08-20 19:30:53+08:00,PeerUser(user_id=83226751),"food outside hss audi, clearing at 8 ",-2
333,2018-08-21 12:35:13+08:00,NTUFreeFood,"outside lt18 - kuay teow, mushroom puff, almond beancurd longan",-2
334,2018-08-21 18:49:27+08:00,NTUFreeFood,"outside lt 8: thai mix salad, rice, wholegrain aglio olio, pan fried fish filet with lemon butter sauce, honey mustard chicken, spinach, mango puree with berries, pokka sparkling apple",-2
335,2018-08-23 19:55:00+08:00,NTUFreeFood,"outside lt6: éclairs, grass jelly, hoeny chicken, fish, fried rice with raisins, pasta, tofu, vegetables, water, fruit punch",-2
336,2018-08-24 18:17:25+08:00,NTUFreeFood,"hi all, spaghetti and drinks outside hive room tr+ 53",-2
337,2018-08-25 13:03:04+08:00,PeerUser(user_id=164991682),"free food at nanyang house, outside 02-212. 10 packs of lee wee brothers",-2
338,2018-08-25 13:44:01+08:00,NTUFreeFood,[cleared] hi guys  14 packets of indian food outside lt03 now.,-2
339,2018-08-28 13:49:08+08:00,PeerUser(user_id=311682526),"leftover food at ntu innovation centre (behind the arc, 71 nanyang drive level 3)",-2
340,2018-08-28 14:58:13+08:00,NTUFreeFood,cleared ,339
341,2018-08-29 15:09:41+08:00,PeerUser(user_id=421083007),"free buffet at sbs lobby, clear by 4pm. got spring roll, siew mai, sandwich, eclairs, coffee and tea.",-2
343,2018-08-29 19:31:25+08:00,NTUFreeFood,"hi all  food over at 71 nanyang drive, #03-01, ntu innovation centre, singapore 638075. should be clearing in about 30mins",-2
344,2018-08-30 19:25:51+08:00,NTUFreeFood,"hi guys  some food over at ns, behind long john silver. should be clearing at 9",-2
347,2018-09-05 13:29:43+08:00,PeerUser(user_id=283624294),"nie main lobby. rice, brinjal, cereal fish, chicken. probably clear in 30 minutes. zq",-2
348,2018-09-06 20:29:08+08:00,NTUFreeFood,"hi all  food over at lt8, to be cleared around 9.30pm",-2
349,2018-09-08 13:28:38+08:00,PeerUser(user_id=425483148),"4 pack of leftover lunch at hive tr 53, feel free to take them😁",-2
